ScientificName,AGCP,AW,CB,EMP,GP,HI,MW,NCNE,WMVC,AK,CommonName
Abelmoschus moschatus,,,UPL,,,FAC,,,,,Musk Okra
Abies amabilis,,FACU,,,,,,,FACU,UPL,Pacific Silver Fir
Abies balsamea,,,,FAC,FAC,,FACW,FAC,,,Balsam Fir
Abies bifolia,,FACU,,,,,,,FACU,,Rocky Mountain Alpine Fir
Abies fraseri,,,,FACU,,,,FACU,,,Fraser's Fir
Abies grandis,,FACU,,,,,,,FACU,,Grand Fir
Abies lasiocarpa,,FACU,,,,,,,FACU,UPL,Subalpine Fir
Abies procera,,FACU,,,,,,,FACU,,Noble Fir
Abildgaardia ovata,FACW,,FAC,,,FACW,,,,,Flat-Spike Sedge
Abrus precatorius,UPL,,UPL,,,FAC,,,,,Rosary-Pea
Abutilon auritum,,,,,,FACU,,,,,Asian Indian-Mallow
Abutilon indicum,,,UPL,,,FAC,,,,,Monkeybush
Abutilon theophrasti,FACU,UPL,,UPL,UPL,,FACU,FACU,FACU,,Velvetleaf
Acacia confusa,,,,,,FACU,,,,,Small Philippine Wattle
Acaena exigua,,,,,,OBL,,,,,Liliwai
Acalypha amentacea,FAC,,UPL,,,FACU,,,,,Match-Me-If-You-Can
Acalypha bisetosa,,,FACW,,,,,,,,Streambank Copperleaf
Acalypha gracilens,FAC,,,FAC,FAC,,FACU,FACU,,,Slender Three-Seed-Mercury
Acalypha poiretii,FACU,,UPL,FACU,FACU,UPL,,FACU,,,Poiret's Copperleaf
Acalypha rhomboidea,FAC,,,FACU,FACU,,FACU,FACU,FACU,,Common Three-Seed-Mercury
Acalypha virginica,FACU,,,FACU,FACU,,FACU,FACU,,,Virginia Three-Seed-Mercury
Acanthocereus tetragonus,FAC,,UPL,,FACU,UPL,,,,,Triangle Cactus
Acanthomintha ilicifolia,,FAC,,,,,,,,,San Diego Thorn-Mint
Acer circinatum,,FAC,,,,,,FAC,FAC,FAC,Vine Maple
Acer glabrum,,FAC,,,FAC,,FAC,,FACU,FACU,Rocky Mountain Maple
Acer grandidentatum,,FACU,,,FAC,,,,FACU,,Canyon Maple
Acer macrophyllum,,FAC,,,,,,,FACU,,Big-Leaf Maple
Acer negundo,FAC,FACW,,FAC,FAC,,FAC,FAC,FAC,,Ash-Leaf Maple
Acer nigrum,UPL,,,FACU,,,FACU,FACU,,,Black Maple
Acer pensylvanicum,FACU,,,FACU,,,FACU,FACU,,,Striped Maple
Acer platanoides,UPL,UPL,,UPL,UPL,,UPL,UPL,FACU,,Norway Maple
Acer rubrum,FAC,,,FAC,FAC,,FAC,FAC,FAC,,Red Maple
Acer saccharinum,FAC,FAC,,FACW,FAC,,FACW,FACW,FAC,,Silver Maple
Acer saccharum,FACU,FACU,,FACU,UPL,,FACU,FACU,FACU,,Sugar Maple
Acer spicatum,UPL,,,FACU,FACU,,FACU,FACU,,,Mountain Maple
Achillea millefolium,FACU,FACU,,FACU,FACU,UPL,FACU,FACU,FACU,FACU,Common Yarrow
Achillea ptarmica,FACU,FACU,,FACU,FACU,,FACU,FACU,FACU,FACU,Pearl Yarrow
Achnatherum diegoense,,FACW,,,,,,,,,San Diego Rice Grass
Achnatherum hymenoides,,UPL,,,FACU,,FACU,FACU,UPL,,Indian Rice Grass
Achnatherum nelsonii,,FACU,,,UPL,,UPL,,UPL,,Nelson's Rice Grass
Achnatherum richardsonii,,UPL,,,FACU,,,,UPL,FACU,Richardson's Rice Grass
Achyrachaena mollis,,FAC,,,,,,,FAC,,Blow-Wives
Achyranthes aspera,UPL,,UPL,UPL,UPL,FAC,,,,,Devil's-Horsewhip
Achyranthes bidentata,,,,,,FACU,,,,,Nui Xi
Acisanthera quadrata,,,OBL,,,,,,,,Camasey-de-Charco
Acmella iodiscaea,,,OBL,,,,,,,,Maluco
Acmella repens,FACW,,,FACW,FACW,,FACW,,,,Opposite-Leaf Spotflower
Acmispon americanus,FACU,UPL,,FACU,FACU,,FACU,FACU,FACU,,American Deerweed
Acnistus arborescens,,,FACU,,,,,,,,Hollowheart
Acoelorrhaphe wrightii,OBL,,,,,,,,,,Everglades Palm
Aconitum columbianum,,FACW,,,FACW,,,,FACW,,Columbian Monkshood
Aconitum delphiniifolium,,,,,,,,,,FAC,Larkspur-Leaf Monkshood
Aconitum infectum,,FACW,,,,,,,OBL,,Arizona Monkshood
Aconitum noveboracense,,,,,,,FACW,FAC,,,Northern Blue Monkshood
Aconitum reclinatum,,,,FAC,,,,,,,Trailing White Monkshood
Aconitum uncinatum,FAC,,,FAC,,,FAC,FAC,,,Southern Blue Monkshood
Aconogonon alaskanum,,,,,,,,,,FAC,Alaska Fleeceflower
Aconogonon phytolaccifolium,,FAC,,,,,,,FAC,,Alpine Fleeceflower
Acorus americanus,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,OBL,Several-Vein Sweetflag
Acorus calamus,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,,Single-Vein Sweetflag
Acrostichum aureum,OBL,,OBL,,,OBL,,,,,Golden Leather Fern
Acrostichum danaeifolium,OBL,,OBL,,,,,,,,Inland Leather Fern
Actaea laciniata,,,,,,,,,FACW,,Mt. Hood Bugbane
Actaea pachypoda,FACU,,,UPL,,,FACU,UPL,,,White Baneberry
Actaea podocarpa,,,,FACU,,,FAC,,,,Mountain Bugbane
Actaea rubra,UPL,FAC,,UPL,FACU,,FACU,FACU,FACU,FAC,Red Baneberry
Actinostachys pennula,FAC,,FAC,,,,,,,,Ray Fern
Adenanthera pavonina,UPL,,UPL,,,FACU,,,,,Red Beadtree
Adenophorus pinnatifidus,,,,,,FACU,,,,,Graceful Kihi Fern
Adenostemma lavenia,,,,,,FACW,,,,,Common Medicine-Plant
Adenostemma verbesina,,,FACW,,,,,,,,Tropical Medicine-Plant
Adiantum aleuticum,FAC,FAC,,FAC,FAC,,,FACU,FAC,FAC,Aleutian Maidenhair
Adiantum capillus-veneris,FACU,FACW,FACW,FACU,FACW,FACU,FACU,,FACW,,Southern Maidenhair
Adiantum jordanii,,FAC,,,,,,,FAC,,California Maidenhair
Adiantum latifolium,,,FAC,,,,,,,,Broad-Leaf Maidenhair
Adiantum macrophyllum,,,FACW,,,,,,,,Large-Leaf Maidenhair
Adiantum obliquum,,,FACU,,,,,,,,Oblique Maidenhair
Adiantum pedatum,FACU,,,FAC,FAC,,FACU,FACU,FAC,,Northern Maidenhair
Adiantum petiolatum,,,FAC,,,,,,,,Stalked Maidenhair
Adiantum pulverulentum,,,FACU,,,,,,,,Glossy Maidenhair
Adiantum raddianum,,,,,,FAC,,,,,Delta Maidenhair
Adiantum tenerum,FAC,,FACU,,,FACU,,,,,Brittle Maidenhair
Adiantum tricholepis,,,,,FAC,,,,,,Fuzzy Maidenhair
Adiantum wilsonii,,,FAC,,,,,,,,Wilson's Maidenhair
Adoxa moschatellina,,FAC,,,FAC,,FAC,FAC,FAC,FAC,Muskroot
Aegopodium podagraria,FACW,FAC,,FACU,,,FAC,FAC,FACU,,Bishop's Goutweed
Aeschynomene americana,FAC,,FAC,FAC,,,,,,,Shyleaf
