SpeciesID,ScientificName,Scientific.Name.with.Author,CommonNameA,CommonNameB,Family,WetlandStatus
ABAB,Abutilon abutiloides,Abutilon abutiloides (Jacq.) Garcke ex Hochr.,shrubby Indian mallow,,Malvaceae,
ABAM5,Abutilon americanum,Abutilon americanum (L.) Sweet,,,,
ABJA,Abutilon jacquinii,Abutilon jacquinii G. Don,,,,
ABLI,Abutilon lignosum,Abutilon lignosum (Cav.) G. Don,,,,
ABAB70,Abietinella abietina,Abietinella abietina (Hedw.) Fleisch.,abietinella moss,,Thuidiaceae,
HYAB,Hypnum abietinum,Hypnum abietinum Hedw.,,,,
THAB70,Thuidium abietinum,Thuidium abietinum (Hedw.) Schimp.,,,,
ABAL,Abronia alpina,Abronia alpina Brandegee,Ramshaw Meadows sand verbena,,Nyctaginaceae,
ABAL3,Abies alba,Abies alba Mill.,silver fir,,Pinaceae,
ABAM,Abies amabilis,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Pacific silver fir,Pacific Silver Fir,Pinaceae,
ABAM2,Abronia ameliae,Abronia ameliae Lundell,Amelia's sand verbena,,Nyctaginaceae,
ABAM3,Abronia ammophila,Abronia ammophila Greene,Wyoming sand verbena,,Nyctaginaceae,
ABFE,Abronia fendleri,Abronia fendleri Standl.,,,,
ABAN,Abronia angustifolia,Abronia angustifolia Greene,purple sand verbena,,Nyctaginaceae,
ABANA,Abronia angustifolia,Abronia angustifolia Greene var. arizonica (Standl.) Kearney & Peebles,,,,
ABTO,Abronia torreyi,Abronia torreyi Standl.,,,,
ABAR,Abronia argillosa,Abronia argillosa S.L. Welsh & Goodrich,clay sand verbena,,Nyctaginaceae,
ABAU,Abutilon auritum,Abutilon auritum (Wall. ex Link) Sweet,Asian Indian mallow,Asian Indian-Mallow,Malvaceae,
ABAU3,Abroma augustum,Abroma augustum (L.) L. f.,devil's-cotton,,Sterculiaceae,
ABAU2,Abroma augusta,"Abroma augusta (L.) L. f., orth. var.",,,,
AMAU4,Ambroma augusta,"Ambroma augusta (L.) L. f., orth. var.",,,,
AMAU5,Ambroma augustum,"Ambroma augustum (L.) L. f., orth. var.",,,,
ABBA,Abies balsamea,Abies balsamea (L.) Mill.,balsam fir,Balsam Fir,Pinaceae,
ABBAB,Abies balsamea,Abies balsamea (L.) Mill. var. balsamea,balsam fir,Balsam Fir,Pinaceae,
PIBA3,Pinus balsamea,Pinus balsamea L.,,,,
ABBAP,Abies balsamea,Abies balsamea (L.) Mill. var. phanerolepis Fernald,balsam fir,Balsam Fir,Pinaceae,
ABPH,Abies ×phanerolepis,Abies ×phanerolepis (Fernald) Liu,,,,
ABBE,Abutilon berlandieri,Abutilon berlandieri A. Gray ex S. Watson,Berlandier's Indian mallow,,Malvaceae,
ABCA2,Abutilon californicum,Abutilon californicum auct. non Benth.,,,,
ABBE2,Abrothallus bertianus,Abrothallus bertianus De Not.,,,Uncertain Ascomycota Family,
ABBI,Abronia bigelovii,Abronia bigelovii Heimerl,Galisteo sand verbena,,Nyctaginaceae,
ABBO,Abronia bolackii,"Abronia bolackii N.D. Atwood, S.L. Welsh & K.D. Heil",Bolack's sand verbena,,Nyctaginaceae,
ABBR,Abies bracteata,Abies bracteata (D. Don) D. Don ex Poit.,bristlecone fir,,Pinaceae,
ABVE,Abies venusta,Abies venusta (Douglas) K. Koch,,,,
ABBR3,Abrothallus bryoriarum,Abrothallus bryoriarum Hafellner,,,Uncertain Ascomycota Family,
ABCA,Abronia carletonii,Abronia carletonii J.M. Coult. & Fisher,Carleton's sand verbena,,Nyctaginaceae,
